2021-11-17 23:46:53,664 - 4
2021-11-17 23:46:53,727 - 4
2021-11-17 23:46:53,789 - 10
2021-11-17 23:46:53,853 - 8
2021-11-17 23:48:33,516 - 6
2021-11-17 23:48:33,578 - 6
2021-11-17 23:48:33,640 - 14
2021-11-17 23:48:33,703 - 14
2021-11-17 23:56:08,645 - 6
2021-11-17 23:56:08,707 - 6
2021-11-17 23:56:08,768 - 14
2021-11-17 23:56:08,830 - 14
2021-11-17 23:56:59,016 - 6
2021-11-17 23:56:59,078 - 6
2021-11-17 23:56:59,144 - 14
2021-11-17 23:56:59,207 - 14
2021-11-18 02:46:51,415 - 6
2021-11-18 02:46:51,498 - 6
2021-11-18 02:46:51,561 - 14
2021-11-18 02:46:51,624 - 14
2021-11-18 02:47:07,151 - 4
2021-11-18 02:47:07,214 - 4
2021-11-18 02:47:07,276 - 10
2021-11-18 02:47:07,339 - 8
2021-11-18 02:54:51,796 - 4
2021-11-18 02:54:51,911 - 4
2021-11-18 02:54:51,974 - 10
2021-11-18 02:54:52,036 - 8
2021-11-18 02:58:11,582 - 10
2021-11-18 02:58:11,659 - 10
2021-11-18 02:58:11,722 - 20
2021-11-18 02:58:11,784 - 25
2021-11-18 02:58:11,848 - 22
2021-11-18 02:58:11,910 - 50
2021-11-18 02:58:11,974 - 40
2021-11-18 02:58:12,036 - 34
2021-11-18 02:58:12,098 - 80
2021-11-18 02:59:08,848 - 10
2021-11-18 02:59:08,933 - 10
2021-11-18 02:59:08,995 - 20
2021-11-18 02:59:09,057 - 25
2021-11-18 02:59:09,120 - 22
2021-11-18 02:59:09,185 - 50
2021-11-18 02:59:09,247 - 40
2021-11-18 02:59:09,309 - 34
2021-11-18 02:59:09,371 - 80
2021-11-18 03:15:31,638 - 10
2021-11-18 03:15:31,736 - 10
2021-11-18 03:15:31,802 - 20
2021-11-18 03:15:31,866 - 25
2021-11-18 03:15:31,928 - 22
2021-11-18 03:15:31,994 - 50
2021-11-18 03:15:32,067 - 40
2021-11-18 03:15:32,130 - 34
2021-11-18 03:15:32,194 - 80
2021-11-18 03:16:17,972 - 10
2021-11-18 03:16:18,034 - 10
2021-11-18 03:16:18,102 - 20
2021-11-18 03:16:18,165 - 25
2021-11-18 03:16:18,228 - 22
2021-11-18 03:16:18,305 - 50
2021-11-18 03:16:18,372 - 40
2021-11-18 03:16:18,436 - 34
2021-11-18 03:16:18,498 - 80
2021-11-18 03:18:38,555 - 10
2021-11-18 03:18:38,623 - 10
2021-11-18 03:18:38,685 - 20
2021-11-18 03:18:38,746 - 25
2021-11-18 03:18:38,807 - 22
2021-11-18 03:18:38,869 - 50
2021-11-18 03:18:38,935 - 40
2021-11-18 03:18:38,997 - 34
2021-11-18 03:18:39,059 - 80
2021-11-18 03:19:17,583 - 10
2021-11-18 03:19:17,658 - 10
2021-11-18 03:19:17,733 - 20
2021-11-18 03:19:17,812 - 25
2021-11-18 03:19:17,888 - 22
2021-11-18 03:19:17,965 - 50
2021-11-18 03:19:18,034 - 40
2021-11-18 03:19:18,097 - 34
2021-11-18 03:19:18,159 - 80
2021-11-18 03:24:44,787 - 10
2021-11-18 03:24:44,879 - 10
